sepal_length,sepal_width,petal_length,petal_width,species
5.1,3.5,1.4,0.2,setosa
4.9,3.0,1.4,0.2,setosa
4.7,3.2,1.3,0.2,setosa
6.0,2.2,5.0,1.5,virginica
5.5,2.3,4.0,1.3,versicolor
6.5,3.0,5.5,1.8,virginica
5.0,3.3,1.4,0.2,setosa
6.3,3.3,6.0,2.5,virginica
5.8,2.7,5.1,1.9,virginica
5.1,3.8,1.5,0.3,setosa
7.0,3.2,4.7,1.4,versicolor
6.4,3.2,4.5,1.5,versicolor
5.7,2.8,4.5,1.3,versicolor
6.3,2.5,5.0,1.9,virginica
5.6,2.9,3.6,1.3,versicolor
6.1,2.8,4.0,1.3,versicolor
5.0,3.4,1.5,0.2,setosa
5.5,2.4,3.8,1.1,versicolor
6.7,3.1,5.6,2.4,virginica
5.4,3.4,1.7,0.2,setosa
